enum,members,status,website,master,master_fields,master_files,loaded_by_app,master_not_loaded,website_note
AIAttackConditionType,6,UNUSED,No,No,"-","-","-","-",""
AIAttackDecisionType,3,UNUSED,No,No,"-","-","-","-",""
AIAttackRuleParameterType,6,UNUSED,No,No,"-","-","-","-",""
AIAttackRuleType,15,UNUSED,No,No,"-","-","-","-",""
AICounterRuleType,6,UNUSED,No,No,"-","-","-","-",""
AISupportActionRuleType,4,UNUSED,No,No,"-","-","-","-",""
AIUseSkillType,3,UNUSED,No,No,"-","-","-","-",""
AbilityFrameType,3,MASTER_ONLY,No,Yes,"AbilityFrameTypeIndex","m_ability.json","m_ability.json","-",""
AcquisitionMethodType,22,BOTH,Yes,Yes,"AcquisitionMethodTypeIndex","m_character_acquisition_method.json, m_item_acquisition_method.json, m_ms_dock_unit_acquisition_method.json…","m_option_parts_acquisition_method.json","m_character_acquisition_method.json, m_item_acquisition_method.json…","option part acquisition (partial)"
AdvFacialExpressionType,11,UNUSED,No,No,"-","-","-","-",""
AdvWindowDisplayType,3,UNUSED,No,No,"-","-","-","-",""
AppVersionType,5,UNUSED,No,No,"-","-","-","-",""
AreaArrivalType,2,MASTER_ONLY,No,Yes,"AreaArrivalTypeIndex","m_map_area.json","m_map_area.json","-",""
AreaEventType,3,UNUSED,No,No,"-","-","-","-",""
AreaPositionType,3,MASTER_ONLY,No,Yes,"AreaPositionTypeIndex","m_map_area.json","m_map_area.json","-",""
AssetDownloadTimingType,4,MASTER_ONLY,No,Yes,"AssetDownloadTimingTypeIndex","m_character.json, m_scenario_stage_series.json, m_stage.json…","m_character.json, m_stage.json…","m_scenario_stage_series.json",""
AttackAttributeType,4,BOTH,Yes,Yes,"AttackAttributeTypeIndex","m_attack_attribute_set.json","-","m_attack_attribute_set.json","weapon_attr_type_labels"
BannerResourceType,3,MASTER_ONLY,No,Yes,"BannerResourceTypeIndex","m_appeal_banner.json","-","m_appeal_banner.json",""
BattleSidePlacedType,3,BOTH,Yes,Yes,"BattleSidePlacedTypeIndex","m_map_stage_group_initial_placement.json","m_map_stage_group_initial_placement.json","-","name referenced in code"
BattleSideType,9,BOTH,Yes,Yes,"BattleSideTypeIndex, BattleSidePlacedTypeIndex","m_map_npc.json, m_map_stage_group_initial_placement.json, m_tower_event_stage_strategy_info.json","m_map_npc.json, m_map_stage_group_initial_placement.json","m_tower_event_stage_strategy_info.json","NPC battle side"
BuffDebuffType,3,MASTER_ONLY,No,Yes,"BuffDebuffTypeIndex","m_trait_set_detail.json","m_trait_set_detail.json","-",""
BuffLabelColorType,11,MASTER_ONLY,No,Yes,"BuffLabelColorTypeIndex","m_character_skill_trait.json, m_stage_event_area_skill_trait.json, m_supporter_active_skill_trait.json…","m_character_skill_trait.json, m_trait_set_detail.json…","m_stage_event_area_skill_trait.json, m_supporter_active_skill_trait.json",""
CampaignEffectCalcType,3,MASTER_ONLY,No,Yes,"CampaignEffectCalcTypeIndex","m_campaign_effect.json","-","m_campaign_effect.json",""
CampaignEffectTargetType,5,MASTER_ONLY,No,Yes,"CampaignEffectTargetTypeIndex","m_campaign_effect.json","-","m_campaign_effect.json",""
CampaignEffectType,12,MASTER_ONLY,No,Yes,"CampaignEffectTypeIndex, CampaignEffectCalcTypeIndex, CampaignEffectTargetTypeIndex","m_campaign_effect.json","-","m_campaign_effect.json",""
CampaignTargetType,14,MASTER_ONLY,No,Yes,"CampaignTargetTypeIndex, CampaignTargetUserTypeIndex","m_campaign.json, m_campaign_target_set_content.json","-","m_campaign.json, m_campaign_target_set_content.json",""
CampaignTargetUserType,5,MASTER_ONLY,No,Yes,"CampaignTargetUserTypeIndex","m_campaign.json","-","m_campaign.json",""
CaptureLotteryResultType,3,UNUSED,No,No,"-","-","-","-",""
CharacterAcquisitionRouteType,4,BOTH,Yes,Yes,"CharacterAcquisitionRouteTypeIndex","m_character.json","m_character.json","-","ACQUISITION_ROUTE_ICONS / filters"
CharacterCutInPlayTimingType,9,UNUSED,No,No,"-","-","-","-",""
CharacterMultiCutInType,4,MASTER_ONLY,No,Yes,"CharacterMultiCutInTypeIndex","m_weapon.json","m_weapon.json","-",""
CharacterMultiRelationshipType,3,UNUSED,No,No,"-","-","-","-",""
CharacterOfferSlotType,4,UNUSED,No,No,"-","-","-","-",""
CharacterOfferType,3,MASTER_ONLY,No,Yes,"CharacterOfferTypeIndex","m_character_offer.json","-","m_character_offer.json",""
CharacterScoutListRegisterConditionType,4,UNUSED,No,No,"-","-","-","-",""
CharacterSkillRangeType,3,UNUSED,No,No,"-","-","-","-",""
CharacterSkillTargetType,3,UNUSED,No,No,"-","-","-","-",""
CharacterSkillTraitType,32,UNUSED,No,No,"-","-","-","-",""
CharacterStatusType,7,UNUSED,No,No,"-","-","-","-",""
CoinType,4,MASTER_ONLY,No,Yes,"CoinTypeIndex","m_coin_limit.json","-","m_coin_limit.json",""
CollectionBookBonusBuffType,34,UNUSED,No,No,"-","-","-","-",""
CollectionBookRegisterRewardType,3,UNUSED,No,No,"-","-","-","-",""
CollectionBookType,3,UNUSED,No,No,"-","-","-","-",""
ComicReleaseConditionType,3,MASTER_ONLY,No,Yes,"ComicReleaseConditionTypeIndex","m_comic_episode.json","-","m_comic_episode.json",""
ComicScrambleAlgorithmType,2,UNUSED,No,No,"-","-","-","-",""
ConditionType,14,BOTH,Yes,Yes,"ConditionTypeIndex, MapStageConditionTypeIndex, AiAttackConditionTypeIndex","m_character_scout_list.json, m_comic_episode.json, m_condition.json…","m_map_area.json, m_map_stage_condition.json","m_character_scout_list.json, m_comic_episode.json…","name referenced in code"
ConfigType,187,MASTER_ONLY,No,Yes,"ConfigTypeIndex, IngameCoefficientConfigTypeIndex","m_config.json, m_ingame_coefficient_config.json","-","m_config.json, m_ingame_coefficient_config.json",""
