"Tag","Range","DEF","","","","Beam","","","","Physical","","","","Special","","",""
"","","35-40%","30%","25%","20%","35-40%","30%","25%","20%","35-40%","30%","25%","20%","35-40%","30%","25%","20%"
"Unstoppable","5 - 6 Range","Unicorn Awakened EX","Zeta III","Perfect Zeong","","Virsago EX","","Phoenix EX","Rafflesia","Phoenix EX","Reginlaze (Iok)","Altron (EW) EX","","Altron (EW) EX","Ple's Qubeley","Age-1 Flat",""
"","","F90 A.D.S. Type EX","Banshee Norn","","","","","Michaelis","","Build Strike EX","","","","","","Kshatriya Repaired",""
"","","Le Cygne EX","00 Raiser","","","","","Wing Zero (EW)","","Barbatos Limiter Off","","","","","","",""
"","","Zeta III P2","FAZZ","","","","","","","","","","","","","",""
"","","","Rafflesia","","","","","","","","","","","","","",""
"","4 Range","","Johnny's Gelgoog","Satan","Blaze Zaku (Dearka)","","Zero Shiki","Murasame","Ple's Qubeley","Astaroth Rinascimento EX","Mack Knife","F90 A.D.S. Type EX","Ez8","","Alyzeus","Zeta III P2","00 Raiser"
"","","","Shining","","Alyzeus","","Rasiel","G-Xiphos","Banshee Norn","","Gremory","Satan","","","Bolt","",""
"","","","Rising Freedom","","Advanced GN-X","","Ez8 High Mobility","","","","","Murasame","","","Destroy","",""
"","","","Lfrith Thorn","","","","Ingrid's Gaplant","","","","","","","","Gaddess","",""
"","","","Gunner Zaku (Dearka)","","","","","","","","","","","","","",""
"","","","Ez8","","","","","","","","","","","","","",""
"","3 Range","","","Age-1 Flat","Mack Knife","","Advanced GN-X","","Rising Freedom","","","Perfect Zeong","","","","",""
"","","","","","","","Blaze Zaku (Dearka)","","Johnny's Gelgoog","","","Kshatriya Repaired","","","","",""
"","","","","","","","","","Gunner Zaku (Dearka)","","","","","","","",""
"","1 - 2 Range","","","Astaroth Rinascimento EX","Ingrid's Gaplant","","","","Gaddess","","","","Zero Shiki","","","Michaelis",""
"","","","","G-Xiphos","Rasiel","","","","Zeta III","","","","Bolt","","","",""
"","","","","","Ez8 High Mobility","","","","Lfrith Thorn","","","","","","","",""
"","","","","","Gremory","","","","","","","","","","","",""
"","MAP","","","Wing Zero (EW)","Destroy","","","Le Cygne EX","FAZZ","","","","","","","Unicorn Awakened EX","Shining"
"","","","","","Reginlaze (Iok)","","","Build Strike EX","","","","","","","","Virsago EX",""
"OSK","5 - 6 Range","Aerial EX","GM Sniper II","","Qubeley (ZZ)","Sinanju EX","Wing Zero","Tallgeese III EX","","","Grand Master","Psycho Zaku EX","","Psycho Zaku EX","","",""
"","","Tallgeese III EX","Kimaris Vidar","","Dynames","Nightingale EX","Bertigo","Aquarius","","","","Sinanju EX","","Urube","","",""
"","","","Atlas","","","Beguir-Pente","","Beta Azieru","","","","","","","","",""
"","","","","","","","","Blue Frame (Lohengrin)","","","","","","","","",""
"","","","","","","","","GN Arms Type-D","","","","","","","","",""
"","4 Range","Calibarn","","Amatsu Mina","Wing Zero","Freedom EX","Gunner ZAKU (Lunamaria)","Aerial EX","AGE-2 Artimes","","Zudah Unit 1","GN Arms Type-D","","Beta Azieru","Dynames","","Kimaris Vidar"
"","","","","Gusion Full City","","","","","","","Pale Rider","Xeku Zwei","","","","",""
"","","","","","","","","","","","Shadow","Blue Frame (Lohengrin)","","","","",""
"","","","","","","","","","","","Barbatos Adapt","","","","","",""
"","","","","","","","","","","","Berga-Giros (Black Vanguard)","","","","","",""
"","3 Range","","ZAKU (Concert)","","Berga-Giros (Black Vanguard)","","","","","Aquarius","","","","","Qubeley (ZZ)","Amatsu Mina",""
"","","","","","Bertigo","","","","","","","","","","","",""
"","","","","","Gunner ZAKU (Lunamaria)","","","","","","","","","","","",""
"","1 - 2 Range","","","Urube","Pale Rider","","","","GM Sniper II","","","Gusion Full City","","","","","Shadow"
"","","","","","Zudah Unit 1","","","","Atlas","","","","","","","",""
