"This list only serves as a loose reference point, for people who are new to team building","","","","","","","","","","","",""
"Similar Units / Pilots are generally interchangable. UR pilots are almost always an upgrade over SP ones.","","","","","","","","","","","",""
"For UR units, higher limit breaks are generally more important than unit quality","","","","","","","","","","","",""
"","Budget Teams","","","","","","UR Teams","","","","",""
"Ship tag","Unit 1","Unit 2","Unit 3","Unit 4","Unit 5","","Unit 1","Unit 2","Unit 3","Unit 4","Unit 5",""
"OSK","SSR Barbatos Lupus Rex","SSR Nu","SR Freedom","Kimaris Vidar","Vual Yuhana","","UR Double X","UR Strike Freedom","UR Phenex (Destroy)","UR Nightingale","UR Michaelis",""
"","Wistario Afam","SSR Hathaway Noa","SSR Andrew Waldfeld (Seed)","SSR Iok Kujan","Sampo Hakuri","","UR Garrod","UR Attack Kira","UR Support Amuro (CCA)","UR Support Char","UR Shaddiq",""
"Tough as Nails","Barbatos Lupus","SSR Penelope","Strike Freedom (METEOR)","SSR F91","Shiranui Akatsuki","","UR Destiny","UR F91 (Twin VSBR)","Monster Black Dragon","UR Halphas","UR Penelope",""
"","Wistario Afam","SSR Hathaway Noa","SSR Dearka","Sid Amber","SSR Rey Za Burrel","","UR Attack Shinn","UR Attack Seabook","Monster Black Dragon","Aplodia","UR Defend Amuro (CCA)",""
"Unstoppable","SSR Virsago Chest Break","SSR 00 Final Battle","Attack Psycho Gundam","Zeta III P2 Type","SSR FA Unicorn","","UR Burning Gundam","UR Wing Zero EW","UR Unicorn Awakened","UR Altron EW","UR Nu (Double Fin Funnels)",""
"","SSR Witz Sou","SR Setsuna S2 (SP)","SSR Amuro","SSR Quatro","SSR Daguza Mackle","","UR Domon","UR Heero","UR Support Banagher","UR Wufei","UR Defend Amuro (CCA)",""
"Lightning Fast","Casval's Gundam","SSR Phenex (Destroy Mode)","G-Falcon DX","Throne Eins Turbulenz","SSR Xi","","UR Xi","UR Hi Nu","UR AGE-2 Normal","UR Great Zeong","UR 00 Final Battle",""
"","Monique Cadillac","SR Haman (SP)","SSR Kou Uraki","SSR Lockon","Gigi Andalucia","","UR Hathaway","UR Attack Amuro (CCA)","UR Asemu","UR Florence","UR Defend Setsuna",""
"Ace","Byarlant Custom 02","SSR 00 Final Battle","G-Falcon DX","00 Raiser","SSR Xi","","UR Burning Gundam","UR Strike Freedom","UR Double X","UR Unicorn Awakened","UR 00 Final Battle",""
"","SSR Shiro Amada","SR Setsuna S2 (SP)","SR Heero EW (SP)","SSR Lockon","Gigi Andalucia","","UR Domon","UR Attack Kira","UR Garrod","UR Support Banagher","UR Defend Setsuna",""
"Newtype Machine","SSR Nu","SSR Phenex (Destroy Mode)","Attack Psycho Gundam","Zeta III P2 Type","Phenex (Unicorn)","","UR Qubeley","UR Hi Nu","UR Sazabi","UR Nightingale","UR Nu (Double Fin Funnels)",""
"","SSR Hathaway Noa","SR Haman (SP)","SSR Amuro","SSR Quatro","SSR Daguza Mackle","","UR Haman","UR Attack Amuro","UR Full Frontal","UR Support Char","UR Defend Amuro (CCA)",""
"Test Type","SSR Penelope","F90 II L Type","SSR F90 A.D.S. Type","FA Mk-III","Vual Yuhana","","UR F91 (Twin VSBR)","UR Calibarn","UR Strike Noir","UR Tallgeese III","UR Penelope",""
"","SSR Hathaway Noa","Sid Amber","SSR Kou Uraki","SSR Quatro","Sampo Hakuri","","UR Attack Seabook","UR Attack Suletta","UR Sven","UR Wufei","UR Defend Amuro (CCA)",""
"Specialised","SSR Barbatos Lupus Rex","SSR Virsago Chest Break","Dark Gundam (Final Form)","Airmaster Burst","Cherudim GNHW/R","","UR Barbatos Lupus Rex","UR Wing Zero EW","UR AGE-2 Normal","UR Altron EW","UR Aerial Rebuild",""
"","Wistario Afam","SSR Roybea Loy","SSR Argo Gulskii","SSR Witz Sou","SSR Sergei Smirnov","","UR Attack Mika","UR Heero","UR Asemu","UR Wufei","Any UR double defender",""
"Shippujinrai","Gundam Mk-IV","SSR 00 Final Battle","Grand Zam","00 Raiser","Vual Yuhana","","UR Strike Freedom","UR Heavyarms (EW)","F90 A.D.S. Type","UR Altron EW","UR 00 Final Battle",""
"","SSR Quatro","SR Setsuna S2 (SP)","Monique Cadillac","SSR Lockon","Sampo Hakuri","","UR Attack Kira","UR Trowa","UR Def Stallion","UR Wufei","UR Defend Setsuna",""
"Tenacious","SSR Barbatos Lupus Rex","Reborns Gundam","F90 II L Type","Narrative C-Packs (Awakened)","Phenex (Unicorn)","","UR F91 (Twin VSBR)","UR Wing Zero EW","UR Nightingale","UR Strike Noir","UR Nu (Double Fin Funnels)",""
"","Wistario Afam","SSR Anew","Sid Amber","SR Haman (SP)","SSR Daguza Mackle","","UR Attack Seabook","UR Heero","UR Support Char","UR Sven","UR Defend Amuro (CCA)",""
"Aerial Use","SSR Penelope","Byarlant Custom 02","Epyon (EW)","Zeta III P2 Type","SSR Xi","","UR Ex-S Gundam","UR Xi","UR AGE-2 Normal","UR Halphas","UR Penelope",""
"","SSR Hathaway Noa","SSR Kou Uraki","SR Chang Wufei EW (SP)","SSR Quatro","Gigi Andalucia","","UR Mao","UR Hathaway","UR Asemu","Aplodia","UR Defend Amuro (CCA)",""
"Rival","Reborns Gundam","SSR Virsago Chest Break","Epyon (EW)","SSR Banshee Norn (Destroy Mode)","SSR Darilbalde (S2)","","UR Qubeley","UR Darilbalde","UR Nightingale","UR Providence","UR Penelope",""
