"Blank Pilot Stage","= SP conversion / UR2 = Gacha = Duplicates = SR / R scouted pilot Restriction","Ships","Team 1 Unit 1","Unit 2","Unit 3","Unit 4","Unit 5","","Team 2 Unit 6","Unit 7","Unit 8","Unit 9","Unit 10","","Pre-requisite Mods","Video"
"1","U.C. Series","SR Protag","SSR Xi","Ball","SSR Char's Zaku (Origin) (SP)","Ball","Ball","","SSR Penelope (SP)","SSR Nu (SP)","SSR Phenex (Destroy) (SP)","SSR Sazabi","Red Gundam (0085)","","N/A","https://youtu.be/Bnv4dTKFu5k?si=EyXC6OTIsjVY0J0E"
"","","SR U.C. Series","Kelley Layzner","","SSR Ramba Ral (SP)","","","","Prayer Reverie","SSR Andrew (Seed) (SP)","Challia Bull GQ","Xavier Olivette","Shuji Ito","","",""
"","U.C. Series","SR U.C. Series","SSR Kampfer","SSR Psycho Zaku","Gyan Eos","Blue Destiny Unit-2","SSR Zeong","","UR Casval","Red Gundam (0085)","SSR Neue Ziel","Herbert's Gelgoog","Val Walo","","N/A","https://youtu.be/-tmfNUYCaPM?si=PdwotLcNaNjakSL7"
"","Zeon","14% Zeon","","Monique Cadillac","SSR Anavel Gato","Amate (MACHU)","Meer","","Challia Bull GQ","Shuji Ito","Christina Mackenzie","Herbert Von Kuspen","Kelley Layzner","","",""
"","U.C. Series","","Luna Tank","Luna Tank","Luna Tank","Luna Tank","Luna Tank","","Red Gundam (0085)","Luna Tank","UR2 Casval","Luna Tank","Luna Tank","","Ex 1, 7","https://youtu.be/sz7AtIatIaE?si=2GDJcGbvvDOAW0Kn"
"","Zeon","22% Lightning Fast","","","","","","","Shuji Ito","","UR Mikhail Kaminsky","","","","",""
"2","Alternate Series","SR Alternate Series","Gold Frame Amatsu (SP)","X Astray","SSR 00 Final Battle (SP)","Tallgeese III","Shiranui Akatsuki","","G-Falcon DX (SP)","Tallgeese II","0 Gundam Full Armor","SSR Burning","SSR DX","","N/A","https://youtu.be/8S5ygbabwMw?si=zOt9pNkp01Gxsojb"
"","","SR Protag","SSR Andrew (Seed) (SP)","Prayer Reverie","Nyaan","Kelley Layzner","Sampo Hakuri","","SSR Kou Uraki","SSR Anavel Gato","SSR Char (GQ)","SSR Ortega (GQ)","Deux Murasame","","",""
"","Alternate Series","22% Unstoppable","SSR 00 Final Battle (SP)","00 Raiser","Exia Repair","Exia Repair","Exia Repair","","Exia Repair","Exia Repair","Exia Repair","Exia Repair","Exia Repair","","N/A","https://youtu.be/uXVJ02L9Cek?si=EheKiWPD5oihEeLT"
"","","","UR Attack Shinn","","","","","","","","","","","","",""
"","Alternate Series","22% Unstoppable","Lfrith Thorn","AGE-2 Normal","UR Barbatos Limiter OFF","SSR Virsago Chest Break","Astaroth Rinascimento","","Lfrith Ur","Dark Gundam (Final Form)","SSR Aerial Rebuild","AGE-2 Double Bullet","Wing Zero","","Tower","https://youtu.be/Ibj0lH56CYw?si=xqagNiwqODhMwn_l"
"","Specialised","SR Alternate Series","SSR Lane Aim","Gigi Andalucia","Shuji Ito","Gaia (GQ)","SSR Argi Mirage","","Kelley Layzner","SSR Oliver May","SSR Shiro Amada","Meer","Lacus","","",""
"3","Seed Series","SR Protag","Strike Freedom Meteor (SP)","Moebius","X Astray","Moebius","SR Freedom (SP)","","Gold Frame Amatsu (SP)","Gold Frame Amatsu Mina (SP)","Attacker Hyperion","Moebius","Moebius","","Ex 2","https://youtu.be/A7mYKNU9DQE?si=zazSGRPa1Wj4n-en"
"","","SR Alternate Series","SSR Kou Uraki","","Prayer Reverie","","SSR Amuro (SP)","","SSR Andrew (Seed) (SP)","SSR Ramba Ral (SP)","Canard Pars","","","","",""
"","Seed Series","22% Lightning Fast","Providence","SSR Destiny","Saviour","SSR Duel Assault Shroud","GuAIZ Assault (Shiva)","","Concert Zaku","Destiny Impulse","Sword Impulse","Legend","Blast Impulse","","Ex 2, 3","https://youtu.be/wPW8Xu6CH4Q?si=nxlCUQw4NInrmSP5"
"","Zaft","SR Alternate Series","Tifa","SSR Ramba Ral (SP)","SSR Elpeo Ple","SSR Andrew (Seed) (SP)","SSR Lockon Stratos (SP)","","Meer","Miorine","Christina Mackenzie","Lacus","SSR Saki Graham","","",""
"4","Protag","22% Lightning Fast","Perfect Strike","NT-1 Chobham","SSR Zeta","UR2 Casval","GP01FB","","Wing Zero","UR Delta Kai","SSR Aerial Rebuild","UR Zeta III P2","Barbatos Adept","","Ex 1, 2","https://youtu.be/D6cBt65zM2o?si=1CZDulRDwkQ-Fpgm"
"","","SR Protag","Kelley Layzner","Christina Mackenzie","SSR Elpeo Ple","Gaia (GQ)","Lacus","","SSR Quatre","SSR Io Fleming","SSR Kou Uraki","Shuji Ito","Sampo Hakuri","","",""
"","Protag","22% Lightning Fast","GP01FB","UR Casval","G-Falcon DX","SSR Zeta","X Divider","","Wing Zero","Wing EW","Knight Gundam","UR Delta Kai","Gundam GP04","","Ex 7, 9, 11, 13, 19, Tower","https://youtu.be/pP3-uVUcOek?si=81F0KQZVoXnefb3t"
"","","SR Protag","SSR Shiro Amada","Monique Cadillac","SSR Kou Uraki","SSR Elpeo Ple","Tifa","","SSR Quatre","Lacus","","SSR Io Fleming","SSR Anavel Gato","","",""
"","Protag","SR U.C. Series","X Divider","UR Casval","UR Zeta III P2","Gundam GP04","SSR Nu (SP)","","Strike Freedom Meteor (SP)","GP01FB","SSR Aerial Rebuild (SP)","Attack GQx","SSR Zeta","","Ex 1, 2, 3","https://youtu.be/UFiCo4RqgjA?si=JNf8qAyi6Xd8-JAY"
"","","SR Protag","Kelley Layzner","SSR Daryl","SSR Quattro","SSR Anavel Gato","UR Support Amuro","","Meer","SSR Io Fleming","SSR Kou Uraki","SSR Char (GQ)","Shuji Ito","","",""
"5","Rival","SR U.C. Series","SSR Psycho Zaku","Neo Zeong (SP)","SSR Sazabi","Blue Destiny Unit-2","SSR The-O","","XK","Gold Frame Amatsu","Gold Frame Amatsu Mina (SP)","Altron EW (SP)","SSR Virsago Chest Break","","Ex 2, 3, 9","https://youtu.be/ZhWpzZbiab4?si=46vvLwF4CVPsyQvH"
"","","SR Rival","SSR Daryl","Gai Murakumo","SSR Hathaway","Nimbus Schterzen","","","Sampo Hakuri","Wistario Afam","SSR Andrew (Seed) (SP)","SSR Ramba Ral (SP)","SSR Quattro","","",""
