"","= SP conversion / UR2","","","","","","","","","","","","","",""
"","= SSP conversion","","","","","","","","","","","","","",""
"","= Gacha","","","","","","","","","","","","","",""
"","","","Team 1","","","","","","Team 2","","","","","",""
"Stage","","Ships","Unit 1","Unit 2","Unit 3","Unit 4","Unit 5","","Unit 6","Unit 7","Unit 8","Unit 9","Unit 10","","Video"
"Red Gundam (0085)","","22% Unstoppable","SSR 00 Final Battle (SP)","SSR Wing Zero EW (SP)","SSR Virsago Chest Break (SP)","UR Wing Zero EW (0*)","00 Raiser","","UR Master Gundam (0*)","UR Hyperion","UR 00 Final Battle (0*)","SSR Phenex (Destroy) (SP)","Dark Gundam (Final Form) (SP)","","https://youtu.be/WsTtwI2AZLg?si=9K-Zc_yGO__YNpM6"
"","","22% Lightning Fast ","UR Full Frontal","SSR Heero","UR Support Kira","UR Heero","SSR Lockon Stratos (SP)","","UR Master Asia","Kelley Layzner","UR Defend Setsuna","UR Scirocco","SSR Emeralda Zubin","",""
"Saikoro","","22% Unstoppable","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","SSR Virsago Chest Break (SP)","UR Wing Zero EW (0*)","00 Raiser","","SSR Nightingale (SP)","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","UR Master Gundam (0*)","UR 00 Final Battle (0*)","","https://youtu.be/sVRjJMw_cFc?si=v1t-1zKyU1UwOKRM"
"","","22% Lightning Fast ","UR Full Frontal","UR Reiji","UR Support Kira","SSR Quatre","SSR Lockon Stratos (SP)","","UR Support Shinn","UR Scirocco","UR Asuna","UR Mark Guider","UR Defend Setsuna","",""
"Over.on","","22% Unstoppable","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","SSR Virsago Chest Break (SP)","UR Wing Zero EW (0*)","00 Raiser","","SSR Nightingale (SP)","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","UR Master Gundam (0*)","UR 00 Final Battle (0*)","","https://youtu.be/8K3SdxfRv3E?si=3TkRFfWH4NnbIZ7R"
"","","22% Lightning Fast ","UR Full Frontal","UR Reiji","UR Support Kira","UR Heero","SSR Lockon Stratos (SP)","","UR Support Shinn","UR Scirocco","UR Asuna","UR Mark Guider","UR Defend Setsuna","",""
