"Ranking Criteria","","","","","",""
"Primary consideration is Pilot-restricted Eternal Road","","","","","",""
"SR pilots are preferred for bigger upgrade, except MSG (where we are spoiled for choice)","","","","","",""
"For unrestricted contents, even best-in-slot SP Pilots struggle to compete with generic UR options","","","","","",""
"E.g. the likes of Sampo / Quatre are extremely popular, but are not attractive when you can field UR","","","","","",""
"2 cs = 2 chance steps; 2 sa = 2 support attacks; 2 sd = 2 support defends","","","","","",""
"Series","Attacker","","Supporter","","Defender",""
"MSG","SSR Sayla","2cs, 765 range, dmg boost skill","SSR Ramba Ral","Free","Herbert Von Kuspen","2sd, force guard"
"","SSR Kou","763 range, Mp Up, dmg boost skill","SSR Lalah","2sa, 861 awaken, sway","",""
"","","","Monique","2sa, 734 range, dmg boost skill","",""
"","","","Shiro","786 range, Mp Up, dmg boost skill","",""
"","","","Saki Graham","2sa, 745 range, dmg boost skill","",""
"Zeta","SSR Amuro","Free","Kamille","2sa, 747 awaken","",""
"","SR Quattro","Sway, dmg boost skill","SR Amuro","Sway, dmg boost skill","",""
"ZZ","Judau","Mp Up, dmg boost skill","Haman","2sa, 744 awaken, dmg boost skill","",""
"CCA","SR Lane Aim","Mp Up, dmg boost skill","SR Char","Sway, dmg boost skill","",""
"G Fighter","Allenby","766 melee, dmg boost skill","Rain","728 range, dmg boost skill","",""
"Unicorn","","","Watts Stepney","821 range, dmg boost skill","",""
"","","","Marida Cruz","744 awaken, Mp Up","",""
"Narrative","","","Jona","2sa, Mp Up","",""
"IBO","Mika","780 melee, Mp Up, dmg boost skill","Hush Middy","745 range, dmg boost skill","",""
"","","","Gaelio","2sa, dmg boost skill","",""
"Witch","Elan 5","746 range, Mp Up, dmg boost skill","Norea","775 range","",""
"Seed","","","SSR Andrew","Free","",""
"","","","Kira","2sa, dmg boost skill","",""
"Seed Destiny","Kira","2cs, dmg boost skill","Athrun","2sa, 715 melee, dmg boost skill","Auel Neider","747 range, 981 def, Mp Up"
"X","Shagia Frost","836 range, dmg boost skill","SR Witz","784 range, dmg boost skill","",""
"Age","Asemu","2cs, 700+ range / melee, dmg boost skill","Desil Galette","2sa","",""
"","Woolf Enneacle","700+ range / melee, dmg boost skill","","","",""
"","Zeheart Galette","Mp Up, Sway","","","",""
"W","Dorothy","Free","Heero (EW)","805 range, Mp Up, dmg boost skill","",""
"","Wufei (EW)","807 melee, Mp Up, dmg boost skill","Trowa (EW)","2sa, 779 range","",""
"","Milliardo","799 melee, Mp Up","","","",""
"00","Setsuna","833 melee, Mp Up, Sway","SSR Lockon","Free","",""
"","","","SR Lockon","2sa, 814 range","",""
"F91","Bosch Weller","767 range, Mp Up","Seabook","759 range, Mp Up, Sway","",""
"","","","Carozzo Ronah","2sa, 741 awaken, Mp Up","",""
