"Ranking Criteria","","","","","",""
"Dev / Event Unit Only","","","","","",""
"Attacker","= strong 5 Range weapon OR Melee Crit weapon OR combination of strong single-target and MAP weapon
Ignore low Hp effects, or any Ranged / Awaken Crit weapon","","","","",""
"Supporter","= 2 debuff types, 5 + 6 Range OR high damage with 5 + 5 / 6 + 4 Range debuffs","","","","",""
"Defender","= Shield Mechanism OR Hp Restore, 6 mov OR 3+ Range Pre-Emptive, full terrain OR affinity with UR pilot","","","","",""
"Tag","Attacker","","Supporter","","Defender",""
"Unstoppable","00 Raiser Final Battle","","Wing Zero EW","Perfect Zeong","Tallgeese II","Burning"
"OSK","Gundam Full Armor","Grand Zam","Wing Zero","Dynames","Unicorn","Double X"
"","Barbatos Lupus Rex","","","","",""
"LF","G-Falcon DX","Phenex Destroy","Khronos","","Phenex",""
"TaN","Penelope","Dark Gundam FF","FA MK-III","Strike Freedom","F90 II","Darilbalde S2"
"","SF Meteor","","","","",""
"Specialised","Barbatos Lupus Rex","Leopard Destroy","Khronos","Wing Zero","Lfrith Ur",""
"","Dark Gundam FF","","","","",""
"Test Type","Penelope","Gundam Full Armor","FA MK-III","Perfect Zeong","F90 II","Darilbalde S2"
"Ace","00 Raiser Final Battle","G-Falcon DX","Strike Freedom","","Double X",""
"Commander","Reborns Cannon","","","","Berga-Giros (EAT)",""
"Large Machine","Grand Zam","Narrative A-Packs","","","",""
"Newtype Machine","Phenex Destroy","","Bertigo","","Phenex",""
"Shippujinrai","00 Raiser Final Battle","Grand Zam","Dynames","","Darilbalde S2",""
"Tenacious","Barbatos Lupus Rex","Wing Proto Zero EW","Wing Zero EW","Perfect Zeong","Phenex",""
"Rival","Penelope","","Khronos","","Darilbalde S2",""
"Psycommu","Penelope","Phenex Destroy","Bertigo","Perfect Zeong","Phenex",""
"Aerial Use","Penelope","","Wing Zero","","Tallgeese III",""
"Honourable mention:","","","","","",""
"Unit","Tags","","Strength","","Weakness",""
"Neo Zeong","Unstoppable, Large Machine, Rival, Psycommu","","Strong single target + strong MAP weapon","","Triangle air + no ground terrain",""
"Altron EW","OSK, Specialised, Rival","","Strong short range + 5 range option","","Other strong 5 Range attackers hit nearly as hard",""
"Schwarzette","OSK, Test Type, Tenacious, Rival","","Strong short range + 5 range option","","Other strong 5 Range attackers hit nearly as hard",""
"Gold Frame Amatsu","Unstoppable, Test Type, Rival","","Strong short range + strong MAP weapon","","Caps at 4 range. Needs UR Shinn to be great",""
"F90 A.D.S. Type","Unstoppable, Test Type","","Strong short range + strong MAP weapon","","Caps at 4 range",""
"S Gundam","OSK, Test Type, Aerial Use","","Strong short range + 5 range option","","Gacha. Other strong 5 Range attackers hit nearly as hard",""
"Deathscythe Hell (EW)","OSK, Specialised, Shippujinrai","","Strong short range + MAP","","Capped at 3 Range, low HP gimmick",""
"Strike Noir","OSK, Test Type, Shippujinrai","","Conditional 5 Range weapon + MAP","","Stronger candidate exist under the same tag",""
"Hashmal","Tough as Nails, Large Machine","","High damage ceiling at 5 Range","","Low HP gimmick",""
"Wing EW","Unstoppable, Specialised, Aerial Use","","High damage ceiling at 5 Range","","Range-based crit weapon",""
"Heavy Gundam","OSK, Test Type, Shippujinrai","","High damage ceiling at 5 Range","","Gacha. Range-based crit weapon",""
"Legend","OSK, Ace, Shippujinrai","","High damage ceiling at 5 Range","","Awaken-based crit weapon",""
"Lfrith Ur (Gundvölva)","Lightning Fast, Specialised","","High damage ceiling at 5 Range","","Gacha. Awaken-based crit weapon",""
"Barbatos Lupus","Tough as Nails, Specialised","","Very strong 3 Range melee crit attacker","","Stronger candidate exist under the same tag",""
"Dragoon Strike","Lightning Fast, Ace","","Strong 5 Range Attacker","","Stronger candidate exist under the same tag",""
"Flauros","Lightning Fast, Specialised","","Strong 5 Range Attacker","","Stronger candidate exist under the same tag",""
"Pharact S2","Lightning Fast, Test Type","","Strong 5 Range Attacker + MAP","","Stronger candidate exist under the same tag",""
"GP04","Lightning Fast, Test Type","","Strong 5 Range Attacker","","Stronger candidate exist under the same tag",""
"Gundam Mk-V","OSK, Test Type, Rival","","Strong 5 Range Attacker + MAP","","Gacha. ",""
"Z'od-iacok","Lightning Fast, Large Machine, Tenacious","","Strong 5 Range Attacker + MAP","","Gacha. Low HP gimmick.",""
"Vayeate Suivant","Unstoppable, Test Type","","Strong 5 Range Attacker","","Gacha. Stronger candidate exist under the same tag",""
"Messer Type F","Tough as Nails, Commander, Tenacious","","6 Range 30% Def + 6 Range 30% Beam","","Gacha",""
"GM Sniper II","OSK, Ace","","6 Range 30% Def + 6 Range 30% Beam","","Gacha",""
"Rafflesia","Unstoppable, Commander, Tenacious, Psycommu","","5 Range 30% Def + 6 Range 30% Beam","","Triangle air + no ground terrain",""
"Gunner ZAKU (Dearka)","Unstoppable, Specialised","","5 Range 30% Def + 5 Range 30% Beam, +Atk passive","","Gacha",""
"Zeta III","Unstoppable, Newtype Machine, Aerial Use","","5 Range 30% Def + 5 Range 30% Beam, +Atk passive","","Gacha",""
"Freedom Meteor","Lightning Fast, Large Machine","","5 Range 30% Def + 5 Range 30% Beam, MAP","","",""
"IJ Meteor","Tough as Nails, Large Machine, Rival","","5 Range 30% Def + 5 Range 30% Beam, MAP","","",""
"Calibarn","OSK, Test Type","","4 Range 35% Def + 5 Range 30% Beam, MAP","","+5% Def down, but -1 / -3 Range vs FA MK-III / Wing Zero",""
"Banshee Norn","Unstoppable, Test Type, Rival, Psycommu","","5 Range 30% Def + 5 Range 25% Beam, +Atk passive","","Stronger candidate exist under the same tag",""
"Support Hildolfr","Lightning Fast, Test Type","","6 Range 30% Def + 6 Range 30% Phys","","No Space terrain",""
"Satan","Unstoppable, Specialised, Rival","","6 Range 30% Def + 5 Range 25% Phys","","Stuck with a SSR pilot",""
"Grand Master","OSK, Large Machine","","5 Range 30% Def + 5 Range 30% Phys, MAP","","",""
"Gusion Rebake","Tough as Nails, Specialised","","5 Range 30% Def + 5 Range 30% Phys","","",""
"Age-1 Flat","Unstoppable, Commander","","5 Range 30% Def + 6 Range 25% Special","","Gacha",""
"Kimaris Vidar","OSK, Ace, Rival","","6 Range 30% Def + 4 Range 25% Special, +Atk passive","","Dynames / Strike Freedom / Khronos are better",""
"00 Raiser","Unstoppable, Ace, Shippujinrai","","6 Range 30% Def + 4 Range 25% Special","","Special debuff has Tension Req",""
"Blue Frame (Lohengrin)","OSK, Test Type, Rival","","6 Range 25% Beam + 5 Range 30% Physical, MAP","","Gacha",""
"Gaddess","Unstoppable, Specialised","","5 Range 30% Beam + 5 Range 30% Special","","Gacha",""
"Murasame [MA]","Unstoppable, Test Type, Shippujinrai, Aerial Use","","5 Range 25% Phys + 5 Range 30% Beam","","",""
"GN Arms Type-D","OSK, Large Machine, Aerial Use","","5 Range 25% Phys + 5 Range 30% Beam","","",""
"Heavyarms Custom EW","Tough as Nails, Specialised, Tenacious","","5 Range 30% Phys + 5 Range 25% Special, MAP","","",""
"Aerial","OSK, Specialised","","6 Range 30% Atk down, Shield, full terrain, counter defend","","5 Mov",""
"Graze Ein","OSK, Large Machine, Tenacious, Rival","","6 Mov, HP Restore, best Large Machine tank in space","","No atmospheric terrain (important for LM team)",""
"Dahgi-Iris (EFF)","Lightning Fast, Specialised","","6 Mov, Shield, HP Restore, full terrain, counter defend","","Gacha",""
"Epyon (EW)","Lightning Fast, Commander, Shippujinrai, Aerial Use, Rival","","6 Mov, Shield, 4 Range pre-emptive, +atk passive","","Gacha",""
"Astaroth Origin","Unstoppable, Ace, Shippujinrai","","6 Mov, Shield, full terrain, good passive, counter defend","","Gacha",""
"Windam","Lightning Fast, Commander, Aerial Use","","6 Mov, Shield, full terrain, good passive","","Gacha",""
"Lfrith Thorn (Gundvölva)","Lightning Fast, Specialised","","6 Mov, Shield, full terrain, good passive, counter defend","","Gacha",""
"Tieren All-Region Type","Tough as Nails, Commander, Shippujinrai","","6 Mov, Shield, full terrain, good passive","","Gacha",""
