"","Tag","Unit Count Gacha UR","Free SSR Units","SSR / UR Units","% Coverage Gacha UR","Free SSR Units","SSR / UR Units","","","","","","","","","","","",""
"","Unstoppable","21","49","109","27%","23%","26%","","","","","","","","","","","",""
"","OSK","18","59","105","23%","27%","25%","","","","","","","","","","","",""
"","LF","19","50","101","24%","23%","24%","","","","","","","","","","","",""
"","TaN","19","58","102","24%","27%","24%","","","","","","","","","","","",""
"","Specialised","17","54","106","22%","25%","25%","","","","","","","","","","","",""
"","Test Type","18","55","110","23%","25%","26%","","","","","","","","","","","",""
"","Ace","22","30","72","28%","14%","17%","","","","","","","","","","","",""
"","Newtype Machine","13","22","36","17%","10%","9%","","","","","","","","","","","",""
"","Commander","6","25","55","8%","12%","13%","","","","","","","","","","","",""
"","Large Machine","2","30","39","3%","14%","9%","","","","","","","","","","","",""
"","Shippujinrai","15","26","60","19%","12%","14%","","","","","","","","","","","",""
"","Tenacious","13","35","59","17%","16%","14%","","","","","","","","","","","",""
"","Mono-Eye","12","37","87","15%","17%","21%","","","","","","","","","","","",""
"","Rival","26","56","103","33%","26%","25%","","","","","","","","","","","",""
"","Psycommu","25","49","77","32%","23%","18%","","","","","","","","","","","",""
"","Seed Series","11","26","55","14%","12%","13%","","","","","","","","","","","",""
"","Aerial Use","9","30","52","12%","14%","12%","","","","","","","","","","","",""
"","MS Gundam","16","34","79","21%","16%","19%","","","","","","","","","","","",""
"","Grand Total","78","216","418","100%","100%","100%","","","","","","","","","","","",""
"","# of Dev / Other SSR by Stage","","","","","","","","","","","","","","","","","",""
"","U.C. Series","","","","","","","","","","","","","","","","","0",""
"","Alternate Series","","","","","","","","","2","","","","3","","2","0","",""
"","Seed Series","","","","3","","1","","","0","","4","1","1","","0","0","","1"
"","Protag","","","","","","","","4","","4","","","","","","","",""
"","Rival","","","","","","","","","4","","","","","","","","",""
"","Char's Counterattack","2","3","3","2","1","0","3","","2","2","1","1","4","4","","0","0","3"
"","MS Gundam","4","","","","4","3","","4","1","4","4","","","","","","0","1"
"","Zeta","2","4","3","3","0","0","2","2","","1","3","0","2","1","","0","0","4"
"","Specialized","","","","","0","","0","0","0","0","4","","4","","1","2","1",""
"","ZZ","2","4","4","2","0","1","2","2","","2","1","1","4","2","","0","0","1"
"","Unstoppable","0","0","0","","","","","","4","4","4","","","","","","3",""
"","G Gundam","4","2","0","2","2","4","0","0","0","2","0","1","0","2","0","0","0","0"
"","Unicorn","1","3","1","","3","0","2","1","3","2","0","1","4","3","","0","0","2"
"","IBO","","","3","3","2","","3","1","0","2","2","2","1","","0","0","0","0"
"","One-shot Killer","","0","0","0","","","","","","","","","","","","4","",""
"","Tough as Nails","0","","0","0","","","","","","","","","","","","","",""
"","Witch from Mercury","","2","1","2","0","4","4","2","0","0","1","2","0","3","0","0","0","0"
"","Seed Destiny","4","","3","1","4","1","3","3","0","3","3","1","1","3","0","0","","0"
"","X","3","3","4","1","3","4","1","0","2","1","0","2","1","2","1","0","0","3"
"","Seed","3","1","","2","3","0","","3","0","2","1","0","0","","0","0","","1"
"","Age","4","3","2","2","4","4","1","2","0","0","0","0","0","2","0","0","0","2"
"","W","","2","1","4","0","","3","2","0","0","1","","0","4","0","0","0",""
"","00","","3","4","3","3","","3","1","0","4","","3","0","2","0","0","0",""
"","Gundam (SR only)","","","","","0","0","0","0","0","0","","","0","","","","",""
"","Narrative","1","2","2","1","0","0","2","0","3","2","1","1","0","1","","0","0","0"
"","Underwater Use","1","2","1","1","1","0","1","1","0","2","1","1","3","2","1","4","0","1"
"","F91","3","2","0","4","0","1","4","3","0","1","1","","1","1","3","0","0","0"
"","Lightning Fast","0","0","","0","","","","","","","4","","","","","","",""
"","Total Score
(2pts for 5+, 1pt for 4 per stage)","28","24","23","20","21","28","24","20","16","18","21","26","20","30","28","18","20","25"
