"MS","Expert ER Usage","Stages required SP or UR2","Total Stages","Type","Rarity"
"SSR Virsago Chest Break","2, 5, 9, 11, 19, 24","11","6","Attacker","SSR"
"SR Freedom","3, 15, 20, 24","3, 15, 20, 24","5","Attacker","SR"
"Casval","1, 4, 7, 9, 28","1, 4, 28","5","Attacker","ULT"
"Gold Frame Amatsu","2, 3, 5, 11, 20","2, 3","5","Attacker","SSR"
"Wing EW","4, 9, 11, 22","22","4","Attacker","SSR"
"SSR Aerial Rebuild","2, 4, 9, 17","4, 17","4","Attacker","SSR"
"Dark Gundam (Final Form)","2, 9, 12, 16","9, 16","4","Attacker","SSR"
"Wing Zero","2, 4, 15, 22","","4","Supporter","SSR"
"AGE-2 Normal","2, 9, 11, 21","","4","Defender","SSR"
"SSR Zeta","4, 8, 10, 28","28","4","Supporter","SSR"
"Tallgeese II","2, 5, 11, 22","","4","Defender","SSR"
"G-Falcon DX","2, 4, 19, 28","2, 28","4","Attacker","SSR"
"Strike Freedom Meteor","3, 4, 16, 18","3, 4, 16","4","Attacker","SSR"
"SSR Barbatos 6th Form","9, 14, 16","9","3","Attacker","SSR"
"SSR Banshee Norn","5, 11, 24","","3","Supporter","SSR"
"Delta Kai","4, 11, 13","","3","Attacker","ULT"
"SSR Nu","4, 6, 15","4, 6, 15","3","Attacker","SSR"
"SSR Psycho Zaku","1, 5, 11","5","3","Attacker","SSR"
"SSR Barbatos Lupus Rex","9, 14, 15","9, 14, 15","3","Attacker","SSR"
"Apsaras III","5, 7, 16","","3","Attacker","SSR"
"Infinite Justice","16, 18, 24","","3","Attacker","SSR"
"SSR Penelope","1, 16, 24","1","3","Attacker","SSR"
"Barbatos Lupus","9, 14, 16","9","3","Attacker","SSR"
"Knight Gundam","4, 9, 16","","3","Defender","SSR"
"Lfrith Ur","2, 9, 17","","3","Defender","SSR"
"Zeta III P2","4, 8, 11","","3","Supporter","ULT"
"Lfrith Thorn","2, 11, 17","","3","Supporter","SSR"
"Support Hyaku Shiki","8, 10, 16","","3","Supporter","SSR"
"AGE-2 Double Bullet","2, 9, 15, 21","9, 21","3","Attacker","SSR"
"SSR 00 Final Battle","2, 11, 23","2, 11, 23","3","Attacker","SSR"
"Elpeo Ple's Qubeley Mk-II","9, 10, 11","","3","Supporter","SSR"
"Altron EW","9, 15, 22","9, 15, 22","3","Attacker","SSR"
"Kimaris Vidar","5, 15, 24","","3","Supporter","SSR"
"Red Gundam (0085)","1, 7, 28","","3","Supporter","SSR"
"Attack Hyaku Shiki","8, 10, 28","28","3","Attacker","SSR"
"SSR Sazabi","1, 5, 6","","3","Supporter","SSR"
"SSR Hi Nu","1, 6, 16","1","3","Defender","SSR"
"Shiranui Akatsuki","2, 16, 18","","3","Defender","SSR"
"SSR Xi","1, 6, 28","","3","Defender","SSR"
"SSR Phenex (Destroy)","1, 25, 28","1, 25, 28","3","Attacker","SSR"
"SSR Char's Zaku (Origin)","1, 9, 28","1, 9, 28","3","Supporter","SSR"
"Attacker Hyperion","3, 5, 20","","3","Attacker","SSR"
"Gold Frame Amatsu Mina","3, 15, 18","3, 15, 18","3","Supporter","SSR"
"Hyperion","5, 15","","2","Defender","ULT"
"Justice Meteor","5, 20","","2","Attacker","SSR"
"Perfect Strike","4, 20","","2","Supporter","SSR"
"Altron","22, 24","","2","Attacker","SSR"
"X Divider","4, 19","","2","Defender","SSR"
