stage_id,stage_name,stage_drop_set_id,journal_pool_id,lottery_count,journal_count,pool_entry_count,weight_sum,any_journal_pct,each_journal_pct,rate_model,verification,journal_1,journal_2,journal_3,journal_4
,,3802200801,380220080108,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Blue Destiny Unit-2 [EXAM] Technical Journal,,,
,,3802200901,380220090101,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Blue Destiny Unit-3 [EXAM] Technical Journal,,,
,,3802201001,380220100104,1,2,2,100,100.0,,d100 weighted (wsum=100 → always awards one journal),Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Blue Destiny Unit-2 [EXAM] Technical Journal,Blue Destiny Unit-3 [EXAM] Technical Journal,,
,,3803200801,380320080101,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Psycho Zaku's Technical Journal,,,
,,3803200901,380320090101,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Full Armor (Thunderbolt) Technical Journal,,,
,,3803201001,380320100101,1,2,2,100,100.0,,d100 weighted (wsum=100 → always awards one journal),Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Psycho Zaku's Technical Journal,Gundam Full Armor (Thunderbolt) Technical Journal,,
,,3806011201,380601120102,1,2,2,100,100.0,,d100 weighted (wsum=100 → always awards one journal),Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam GP01Fb's Technical Journal,Val Walo's Technical Journal,,
,,3806011301,380601130102,1,2,2,100,100.0,,d100 weighted (wsum=100 → always awards one journal),Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam GP03 Technical Journal,Neue Ziel Technical Journal,,
,,3806011401,380601140102,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam GP04 Technical Journal,,,
,,3830500801,383050080105,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Astray Gold Frame Amatsu's Technical Journal,,,
,,3830500901,383050090105,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Astray Blue Frame Second L's Technical Journal,,,
,,3830501001,383050100105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Astray Gold Frame Amatsu's Technical Journal,Gundam Astray Blue Frame Second L's Technical Journal,,
,,3843100801,384310080102,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Astaroth Rinascimento Technical Journal,,,
,,3843100901,384310090102,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Vual Yuhana Technical Journal,,,
,,3843101001,384310100102,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Dantalion T-Booster Technical Journal,,,
101501,,3000101501,300010150131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gyan Eos's Technical Journal,Big Zam's Technical Journal,,
101601,,3000101601,300010160131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,G-3 Gundam's Technical Journal,,,
101701,,3000101701,300010170131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Zeong's Technical Journal,,,
11000601,Mobile Suit Gundam: Char's Counterattack HARD STAGE 1,3011000601,301100060131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Nu Gundam Technical Journal,,,
11000701,Mobile Suit Gundam: Char's Counterattack HARD STAGE 2,3011000701,301100070131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Alpha Azieru Technical Journal,Sazabi Technical Journal,,
11000801,Mobile Suit Gundam: Char's Counterattack HARD STAGE 3,3011000801,301100080131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Hi-Nu Gundam Technical Journal,Nightingale Technical Journal,,
12501101,,3012501101,301250110131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Unicorn Gundam (Destroy Mode) Technical Journal,Sinanju Technical Journal,,
12501201,,3012501201,301250120131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Banshee  (Destroy Mode) Technical Journal,Shamblo Technical Journal,,
12501301,,3012501301,301250130131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Banshee Norn (Destroy Mode) Technical Journal,Kshatriya Repaired Technical Journal,,
12501401,,3012501401,301250140131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Full Armor Unicorn Gundam (Destroy Mode) Technical Journal,Neo Zeong Technical Journal,,
14400501,,3014400501,301440050105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Narrative Gundam B-Packs's Technical Journal,Narrative Gundam A-Packs's Technical Journal,II Neo Zeong's Technical Journal,
14400601,,3014400601,301440060105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Sinanju Stein's Technical Journal,Unicorn Gundam 03 Phenex (Unicorn Mode)'s Technical Journal,Unicorn Gundam 03 Phenex (Destroy Mode)'s Technical Journal,
15000401,Mobile Suit Gundam HATHAWAY HARD STAGE 1,3015000401,301500040105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Penelope Technical Journal,Xi Gundam Technical Journal,,
20001101,,3020001101,302000110131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Shadow Gundam's Technical Journal,Master Gundam's Technical Journal,Dark Gundam (First Form)'s Technical Journal,
20001901,,3020001901,302000190131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Dark Gundam (Final Form) Technical Journal,Grand Master Gundam Technical Journal,,
20002001,,3020002001,302000200131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Burning Gundam Technical Journal,,,
21001801,,3021001801,302100180131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Tallgeese II's Technical Journal,,,
21001901,,3021001901,302100190131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Epyon's Technical Journal,,,
